Statistic,SP500,VIX
Mean,0.0005327546912842828,0.0034527745160797085
Std Dev,0.01145327459868567,0.08637384675948792
Min,-0.11984055240393443,-0.35753873962348437
Max,0.09515387644904849,1.1559792516603906
25th %ile,-0.003706707658226005,-0.04255323957993329
Median,0.0007410719362856977,-0.007036053167217893
75th %ile,0.005802410694099036,0.035353575248085356
Skewness,-0.3718905246424073,2.595099681499236
Kurtosis,15.479315580438573,20.822303766406645
Count,2513.0,2513.0
